bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,duration_seconds,threat_score,avg_packet_size
36745,28952,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,5,109.495
12068,25589,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,2,62.76166666666666
57462,20222,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,165.225.212.255,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,5,129.47333333333333
2015975,79990,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,5,3493.275
4064,11384,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,0,25.746666666666666
33268,9986,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,3,72.09
7424,14656,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,0,36.8
4758826,289956,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,5,8414.636666666667
17736,36370,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,600.0,2,90.17666666666666
60686,35910,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,5,160.99333333333334
21698,21218,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,2,71.52666666666667
28296,7230,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,0,59.21
4721,8322,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,0,21.738333333333333
9968,6646,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,0,27.69
4791678,291275,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,5,8471.588333333333
10768,7248,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,0,30.026666666666667
3996,11776,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,0,26.286666666666665
